algo,exp_label,req_id,src,dst,sp_hop,chosen_hop,detour,in_path_set,tree_depth,purify_rounds,fidelity,prob,finish_t,outcome
SP_skewed,tao=0.020000 Round=0,1,8,27,3,3,0,1,2,0|0|0,0.819675,0.81,4,accepted
SP_skewed,tao=0.020000 Round=0,2,10,23,4,4,0,1,3,1|1|1|1,0.800812,0.490405,6,accepted
SP_skewed,tao=0.020000 Round=0,3,18,19,3,3,0,1,2,0|0|0,0.838551,0.81,4,accepted
SP_skewed,tao=0.020000 Round=0,4,8,28,4,4,0,1,3,1|1|1|1,0.809139,0.499235,6,accepted
SP_skewed,tao=0.020000 Round=0,5,23,2,4,4,0,1,3,1|1|1|1,0.804947,0.494729,8,accepted
SP_skewed,tao=0.020000 Round=0,6,14,29,2,2,0,1,1,0|0,0.851603,0.9,3,accepted
SP_skewed,tao=0.020000 Round=0,7,26,6,3,3,0,1,2,1|1|1,0.836025,0.59001,9,accepted
SP_skewed,tao=0.020000 Round=0,8,10,29,3,3,0,1,2,1|1|1,0.841941,0.597172,5,accepted
SP_skewed,tao=0.020000 Round=0,9,15,21,3,3,0,1,2,1|1|1,0.841433,0.596443,5,accepted
SP_skewed,tao=0.020000 Round=0,10,12,29,3,3,0,1,2,1|1|1,0.84919,0.605589,6,accepted
SP_skewed,tao=0.020000 Round=0,11,6,19,4,4,0,1,3,1|1|1|1,0.814685,0.505039,7,accepted
SP_skewed,tao=0.020000 Round=0,12,27,18,3,3,0,1,2,1|1|1,0.849245,0.606037,9,accepted
SP_skewed,tao=0.020000 Round=0,13,12,21,3,3,0,1,2,1|1|1,0.838762,0.593307,7,accepted
SP_skewed,tao=0.020000 Round=0,14,17,27,4,4,0,1,3,1|1|1|1,0.808075,0.498031,9,accepted
SP_skewed,tao=0.020000 Round=0,15,19,12,3,3,0,1,2,1|1|1,0.849299,0.606345,6,accepted
SP_skewed,tao=0.020000 Round=0,16,6,7,4,4,0,1,3,1|1|1|1,0.809103,0.499182,12,accepted
SP_skewed,tao=0.020000 Round=0,17,16,19,4,4,0,1,3,1|1|1|1,0.811169,0.501365,10,accepted
SP_skewed,tao=0.020000 Round=0,18,21,15,3,3,0,1,2,1|1|1,0.841428,0.596443,10,accepted
SP_skewed,tao=0.020000 Round=0,19,12,14,2,2,0,1,1,0|0,0.847696,0.9,6,accepted
SP_skewed,tao=0.020000 Round=0,20,23,16,3,3,0,1,2,1|1|1,0.841735,0.596737,5,accepted
SP_skewed,tao=0.020000 Round=0,21,17,3,4,NA,NA,NA,NA,NA,NA,NA,NA,fail_fid
SP_skewed,tao=0.020000 Round=0,22,9,15,4,5,1,0,4,3|3|3|3|3,0.803113,0.176603,12,accepted
SP_skewed,tao=0.020000 Round=0,23,24,29,4,NA,NA,NA,NA,NA,NA,NA,NA,fail_fid
SP_skewed,tao=0.020000 Round=0,24,21,13,2,2,0,1,1,0|0,0.892904,0.9,3,accepted
SP_skewed,tao=0.020000 Round=0,25,24,12,4,4,0,0,3,1|1|1|1,0.81642,0.507051,12,accepted
SP_skewed,tao=0.020000 Round=0,26,29,11,4,5,1,0,4,2|2|2|2|2,0.803011,0.277971,12,accepted
SP_skewed,tao=0.020000 Round=0,27,0,23,4,4,0,1,3,1|1|1|1,0.816116,0.50641,12,accepted
